condition,seed,alc,final_val_auc
with_bonus,42,0.9858212846216273,0.9947634009330668
with_bonus,123,0.9873310573396265,0.9958488051033039
with_bonus,456,0.9750193822173255,0.9948205274683424
with_bonus,789,0.9851203511014998,0.9922117490240884
with_bonus,2024,0.9850573305586159,0.9946301056840903
without_bonus,42,0.9865566754170009,0.9956202989622012
without_bonus,123,0.9870218486328168,0.9955441302485004
without_bonus,456,0.9764325838875966,0.9970675045225174
without_bonus,789,0.9855782701541057,0.9935351804246406
without_bonus,2024,0.9842081400778915,0.9950299914310197
